specialite_1,specialite_2,of,pct_multi,stag_mean_tam
Spécialités plurivalentes de l'agronomie et de l'agriculture,Transformations chimiques et apparentées (y compris pharmaceutiques),3,0.01007455168245013,0.0
Autres...,Mécanique aéronautique et spatiale,3,0.01007455168245013,91.0
Arts plastiques,"Secrétariat, bureautique",3,0.01007455168245013,0.0
"Mines et carrières, génie civil, topographie",Technologies industrielles fondamentales,3,0.01007455168245013,0.0
Chimie,Spécialités pluritechnologiques des transformations,3,0.01007455168245013,0.0
"Productions végétales,cultures spécialisées",Spécialités pluritechnologiques des transformations,3,0.01007455168245013,8.0
Bâtiment: construction et couverture,"Plasturgie, matériaux composites",3,0.01007455168245013,0.0
Spécialités plurivalentes des services,Spécialités plurivalentes des services à la collectivité,3,0.01007455168245013,1146.0
Spécialités plurivalentes des services à la collectivité,Spécialités plurivalentes des échanges et de la gestion,3,0.01007455168245013,174.0
"Mathématiques, statistiques",Psychologie,3,0.01007455168245013,0.0
"Matériaux de construction, verre, céramique",Technologies industrielles fondamentales,3,0.01007455168245013,372.0
"Energie, génie climatique",Transformations chimiques et apparentées (y compris pharmaceutiques),3,0.01007455168245013,196.0
"Transport, manutention, magasinage","Vie familiale, vie sociale et autres formations au développement personnel",3,0.01007455168245013,235.0
"Productions végétales,cultures spécialisées",Spécialités pluriscientifiques,3,0.01007455168245013,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Pratiques sportives,3,0.01007455168245013,0.0
"Transport, manutention, magasinage",Travail social,3,0.01007455168245013,105.0
"Agro-alimentaire, alimentation, cuisine",Sciences de la terre,3,0.01007455168245013,0.0
"Animation culturelle, sportive et de loisirs",Spécialités pluriscientifiques,3,0.01007455168245013,0.0
"Musique, arts du spectacle",Spécialités plurivalentes des services,3,0.01007455168245013,0.0
"Electricité, électronique (non compris automatisme et productique)",Spécialités concernant plusieurs capacités,3,0.01007455168245013,695.0
Pratiques sportives,"Secrétariat, bureautique",3,0.01007455168245013,216.0
Développement des capacités mentales et apprentissages de base,"Transport, manutention, magasinage",3,0.01007455168245013,0.0
Développement des capacités mentales et apprentissages de base,Spécialités plurivalentes des échanges et de la gestion,3,0.01007455168245013,77.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)","Sécurité des biens et des personnes, police, surveillance",3,0.01007455168245013,93.0
Mécanique aéronautique et spatiale,"Techniques de l'image et du son, métiers connexes du spectacle",3,0.01007455168245013,0.0
"Agro-alimentaire, alimentation, cuisine",Chimie,3,0.01007455168245013,713.0
"Comptabilité, gestion","Habillement (y compris mode, couture)",3,0.01007455168245013,0.0
"Accueil, hôtellerie, tourisme",Spécialités concernant plusieurs capacités,3,0.01007455168245013,0.0
"Productions végétales,cultures spécialisées",Spécialités plurivalentes des échanges et de la gestion,3,0.01007455168245013,0.0
"Productions animales, élevage spécialisé, aquaculture, ...",Transformations chimiques et apparentées (y compris pharmaceutiques),3,0.01007455168245013,0.0
"Secrétariat, bureautique","Spécialités plutitechnologiques, mécanique-électricité",3,0.01007455168245013,0.0
"Aménagement du territoire, développement, urbanisme",Spécialités plurivalentes des services,3,0.01007455168245013,0.0
Pratiques sportives,Spécialités plurivalentes de la communication,3,0.01007455168245013,0.0
Formations générales,Jeux et activités spécifiques de loisirs,3,0.01007455168245013,0.0
"Energie, génie climatique",Spécialités plurivalentes des services,3,0.01007455168245013,240.0
Bâtiment: finitions,Mécanique aéronautique et spatiale,3,0.01007455168245013,75.0
Moteurs et mécanique auto,Spécialités pluritechnologiques des transformations,3,0.01007455168245013,0.0
"Droit, sciences politiques","Spécialités plutitechnologiques, mécanique-électricité",3,0.01007455168245013,0.0
"Agro-alimentaire, alimentation, cuisine","Vie familiale, vie sociale et autres formations au développement personnel",3,0.01007455168245013,52.5
"Coiffure, esthétique et autres spécialités des services aux personnes","Musique, arts du spectacle",3,0.01007455168245013,102.0
"Mines et carrières, génie civil, topographie","Mécanique générale et de précision, usinage",3,0.01007455168245013,0.0
Sciences de la terre,Spécialités plurivalentes de la communication,3,0.01007455168245013,0.0
"Finances, banque, assurances","Nettoyage, assainissement, protection de l'environnement",3,0.01007455168245013,199.0
Spécialités plurivalentes sanitaires et sociales,Technologies industrielles fondamentales,3,0.01007455168245013,560.0
Santé,Technologies de commandes des transformations industrielles,3,0.01007455168245013,0.0
Journalisme et communication,Spécialités littéraires et artistiques plurivalentes,3,0.01007455168245013,0.0
Protection et développement du patrimoine,"Spécialités pluritechnologiques, génie civil, construction, bois",3,0.01007455168245013,0.0
"Agro-alimentaire, alimentation, cuisine",Pratiques sportives,3,0.01007455168245013,0.0
"Commerce, vente",Spécialités littéraires et artistiques plurivalentes,3,0.01007455168245013,0.0
"Informatique, traitement de l'information, réseaux de transmission des données","Mines et carrières, génie civil, topographie",3,0.01007455168245013,0.0
"Chimie-biologie, biochimie","Spécialités pluridisciplinaires, sciences humaines et droit",3,0.01007455168245013,0.0
"Commerce, vente",Jeux et activités spécifiques de loisirs,3,0.01007455168245013,154.0
"Enseignement, formation","Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",3,0.01007455168245013,93.0
"Energie, génie climatique",Linguistique,3,0.01007455168245013,0.0
"Philosophie, éthique et théologie",Spécialités plurivalentes sanitaires et sociales,3,0.01007455168245013,0.0
Moteurs et mécanique auto,"Secrétariat, bureautique",3,0.01007455168245013,0.0
"Comptabilité, gestion",Sciences de la terre,3,0.01007455168245013,0.0
Moteurs et mécanique auto,Mécanique aéronautique et spatiale,3,0.01007455168245013,0.0
Développement des capacités comportementales et relationnelles,"Forêts, espaces naturels, faune sauvage, pêche",3,0.01007455168245013,36.0
Moteurs et mécanique auto,"Sécurité des biens et des personnes, police, surveillance",3,0.01007455168245013,13.0
Journalisme et communication,"Productions animales, élevage spécialisé, aquaculture, ...",3,0.01007455168245013,0.0
"Documentation, bibliothèques, administration des données",Santé,3,0.01007455168245013,0.0
"Forêts, espaces naturels, faune sauvage, pêche","Spécialités pluritechnologiques, génie civil, construction, bois",3,0.01007455168245013,0.0
"Agro-alimentaire, alimentation, cuisine","Finances, banque, assurances",3,0.01007455168245013,0.0
"Electricité, électronique (non compris automatisme et productique)","Finances, banque, assurances",3,0.01007455168245013,0.0
Pratiques sportives,"Techniques de l'image et du son, métiers connexes du spectacle",3,0.01007455168245013,41.0
Linguistique,Spécialités plurivalentes de l'agronomie et de l'agriculture,3,0.01007455168245013,0.0
"Matériaux de construction, verre, céramique","Spécialités pluritechnologiques, génie civil, construction, bois",3,0.01007455168245013,0.0
Spécialités plurivalentes de la communication,"Spécialités plutitechnologiques, mécanique-électricité",3,0.01007455168245013,397.0
Développement des capacités comportementales et relationnelles,Transformations chimiques et apparentées (y compris pharmaceutiques),3,0.01007455168245013,8582.0
Technologies de commandes des transformations industrielles,Travail du bois et de l'ameublement,3,0.01007455168245013,91.5
Journalisme et communication,"Transport, manutention, magasinage",3,0.01007455168245013,0.0
"Comptabilité, gestion",Textile,3,0.01007455168245013,0.0
Chimie,"Spécialités pluritechnologiques, génie civil, construction, bois",3,0.01007455168245013,143.0
"Aménagement paysager (parcs, jardins, espaces verts)","Comptabilité, gestion",3,0.01007455168245013,12.0
"Habillement (y compris mode, couture)","Secrétariat, bureautique",3,0.01007455168245013,0.0
Psychologie,Technologies industrielles fondamentales,3,0.01007455168245013,68.0
"Aménagement paysager (parcs, jardins, espaces verts)","Spécialités plutitechnologiques, mécanique-électricité",3,0.01007455168245013,41.0
"Enseignement, formation","Spécialités plutitechnologiques, mécanique-électricité",3,0.01007455168245013,41.0
"Chimie-biologie, biochimie",Spécialités plurivalentes des échanges et de la gestion,3,0.01007455168245013,30.0
"Electricité, électronique (non compris automatisme et productique)","Plasturgie, matériaux composites",3,0.01007455168245013,177.0
"Mines et carrières, génie civil, topographie","Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",3,0.01007455168245013,369.0
Bâtiment: construction et couverture,"Productions animales, élevage spécialisé, aquaculture, ...",3,0.01007455168245013,38.0
"Finances, banque, assurances",Spécialités plurivalentes des services à la collectivité,3,0.01007455168245013,0.0
"Aménagement paysager (parcs, jardins, espaces verts)","Français, littérature et civilisation françaises",3,0.01007455168245013,484.0
Chimie,Technologies industrielles fondamentales,3,0.01007455168245013,0.0
Spécialités concernant plusieurs capacités,"Spécialités plutitechnologiques, mécanique-électricité",3,0.01007455168245013,673.0
Bâtiment: construction et couverture,Structures métalliques,3,0.01007455168245013,657.0
"Nettoyage, assainissement, protection de l'environnement",Travail du bois et de l'ameublement,3,0.01007455168245013,18.0
"Productions végétales,cultures spécialisées","Ressources humaines, gestion du personnel, gestion de l'emploi",3,0.01007455168245013,62.0
"Chimie-biologie, biochimie","Informatique, traitement de l'information, réseaux de transmission des données",3,0.01007455168245013,265.5
Journalisme et communication,Technologies industrielles fondamentales,3,0.01007455168245013,0.0
Moteurs et mécanique auto,Spécialités plurivalentes des services,3,0.01007455168245013,429.0
"Mathématiques, statistiques","Spécialités pluritechnologiques, génie civil, construction, bois",3,0.01007455168245013,0.0
Bâtiment: construction et couverture,Spécialités plurivalentes de la communication,3,0.01007455168245013,79.0
Journalisme et communication,"Sécurité des biens et des personnes, police, surveillance",3,0.01007455168245013,738.0
"Aménagement paysager (parcs, jardins, espaces verts)","Langues vivantes, civilisations étrangères et régionales",3,0.01007455168245013,0.0
Autres...,Structures métalliques,3,0.01007455168245013,157.0
"Forêts, espaces naturels, faune sauvage, pêche","Ressources humaines, gestion du personnel, gestion de l'emploi",3,0.01007455168245013,0.0
"Spécialités pluritechnologiques, matériaux souples","Spécialités plutitechnologiques, mécanique-électricité",3,0.01007455168245013,0.0
